timestamp,episode,blue_steps,blue_epsilon,qtable_states,blue_return,blue_len,blue_food,blue_dead,blue_best_score,blue_total_food,blue_total_deaths,last_td_error
1778655896,192,42913,0.02,14437,-2588.359999999998,290,5,0,16,935,88,-1.8230165499999997
1778655906,193,43016,0.02,14462,-682.8600000000001,103,5,1,16,940,89,-116.8
1778655922,194,43192,0.02,14498,-1878.4899999999982,176,3,0,16,943,89,-4.666
1778655938,195,43357,0.02,14518,-1791.510000000001,165,1,0,16,944,89,5.483473965324139
1778655957,196,43552,0.02,14545,-2244.8500000000013,195,4,0,16,948,89,-152.6777701596698
1778655974,197,43740,0.02,14561,-1929.1799999999994,188,4,1,16,952,90,-122.48
1778655983,198,43830,0.02,14563,-1239.71,90,3,0,16,955,90,1.673259837156559
1778656005,199,44065,0.02,14608,-2070.9799999999996,235,12,0,16,967,90,23.02309836730774
1778656020,200,44219,0.02,14628,-1870.8600000000001,154,5,1,16,972,91,-116.8
1778656060,201,44644,0.02,14679,-2596.7499999999927,425,10,1,16,982,92,-116.39999999999999
1778656071,202,44756,0.02,14691,-504.33000000000095,112,4,0,16,986,92,5.021317
1778656096,203,45033,0.02,14734,-2142.2499999999977,277,7,1,16,993,93,-116.64
1778656101,204,45083,0.02,14741,-543.9999999999999,50,1,0,16,994,93,14.255125632729989
1778656134,205,45441,0.02,14774,-3144.1499999999983,358,7,1,16,1001,94,-116.64
1778656156,206,45678,0.02,14823,-2249.8500000000013,237,7,1,16,1008,95,-116.64
1778656182,207,45951,0.02,14858,-2064.2000000000053,273,7,0,16,1015,95,-2.8156565917838763
1778656203,208,46175,0.02,14874,-2738.52,224,7,0,16,1022,95,9.762911982843114
1778656233,209,46506,0.02,14929,-2303.509999999998,331,7,1,16,1029,96,-116.64
1778656242,210,46605,0.02,14951,-162.6399999999998,99,5,1,16,1034,97,-116.8
1778656256,211,46746,0.02,14967,-1326.5999999999995,141,3,0,16,1037,97,24.577973364926315
1778656284,212,47046,0.02,15004,-3122.739999999994,300,6,0,16,1043,97,5.4658999999999995
1778656416,213,47290,0.02,15043,-1142.0800000000002,170,7,1,16,1050,98,-116.64
1778656429,214,47422,0.02,15059,-1130.8099999999997,132,5,1,16,1055,99,-122.4
1778656444,215,47581,0.02,15076,-1646.4999999999982,159,5,0,16,1060,99,-0.974765140101822
1778656457,216,47720,0.02,15104,-1429.3399999999992,139,5,1,16,1065,100,-116.8
1778656484,217,47991,0.02,15180,-1229.0700000000015,271,11,0,16,1076,100,-1.7245522906672932
1778656500,218,48160,0.02,15201,-870.709999999999,169,8,0,16,1084,100,5.412941056140719
1778656518,219,48344,0.02,15221,-543.51,184,10,1,16,1094,101,-117.08537047772583
1778656533,220,48505,0.02,15242,-918.2299999999998,161,4,0,16,1098,101,58.5873772946357
1778656541,221,48590,0.02,15252,-74.42000000000006,85,6,0,16,1104,101,3.9478999999999993
1778656907,222,48967,0.02,15301,-1857.6100000000004,210,8,1,16,1112,102,-116.56
1778656945,223,49368,0.02,15339,-2643.390000000004,401,7,0,16,1119,102,-0.23277845032313652
1778656961,224,49535,0.02,15368,-900.4900000000006,167,3,0,16,1122,102,-2.266
1778657014,225,50100,0.02,15464,-3016.669999999999,565,14,1,16,1136,103,-116.08
1778657028,226,50253,0.02,15483,-1235.0000000000016,153,0,0,16,1136,103,2.5178890515725794
1778657042,227,50402,0.02,15499,-1704.6000000000008,149,0,0,16,1136,103,32.68511889590561
1778657064,228,50637,0.02,15525,-1652.0900000000004,235,7,0,16,1143,103,20.434749188221947
1778657091,229,50925,0.02,15575,-1658.67,288,9,0,16,1152,103,100.764
1778657110,230,51120,0.02,15594,-1125.8400000000004,195,5,0,16,1157,103,-3.4059999999999997
1778657134,231,51380,0.02,15646,-1997.1999999999985,260,5,0,16,1162,103,-5.0894432463169155
1778657146,232,51515,0.02,15659,-1053.2500000000014,135,3,1,16,1165,104,-116.96
1778657161,233,51673,0.02,15685,-1503.0400000000004,158,5,0,16,1170,104,-4.306
1778657171,234,51778,0.02,15695,-866.6400000000002,105,2,0,16,1172,104,-9.26507840820915
1778657188,235,51968,0.02,15726,-1830.0099999999982,190,3,0,16,1175,104,-2.4894907446262358
1778657194,236,52027,0.02,15731,-456.84999999999945,59,1,1,16,1176,105,-122.72000000000001
1778657215,237,52252,0.02,15757,-1579.94,225,5,0,16,1181,105,-3.174901861255397
1778657228,238,52399,0.02,15774,-1448.9799999999987,147,2,0,16,1183,105,55.21770663373845
1778657239,239,52523,0.02,15782,-525.2799999999999,124,5,1,16,1188,106,-116.8
1778657256,240,52702,0.02,15807,-1156.8600000000006,179,4,1,16,1192,107,-122.48
1778657266,241,52813,0.02,15822,-1640.5299999999982,111,1,1,16,1193,108,-117.12
1778657295,242,53123,0.02,15866,-3604.5399999999954,310,4,1,16,1197,109,-116.88
1778657313,243,53310,0.02,15902,-1130.4099999999996,187,8,1,16,1205,110,-116.56
1778657321,244,53395,0.02,15915,-742.9100000000002,85,1,1,16,1206,111,-122.72000000000001
1778657335,245,53549,0.02,15942,-1085.4700000000007,154,6,1,16,1212,112,-122.32000000000001
1778657350,246,53703,0.02,15956,-1761.3800000000008,154,4,0,16,1216,112,-6.25701195151021
1778657359,247,53795,0.02,15962,-836.9200000000009,92,2,0,16,1218,112,4.4932373272560024
1778657382,248,54038,0.02,15975,-1726.9900000000002,243,8,1,16,1226,113,-122.06
1778657398,249,54222,0.02,15991,-705.9100000000001,184,7,1,16,1233,114,-122.24000000000001
1778657419,250,54442,0.02,16034,-1159.6100000000013,220,5,1,16,1238,115,-122.4
1778657441,251,54682,0.02,16072,-757.8100000000005,240,8,1,16,1246,116,-122.16000000000001
1778657468,252,54966,0.02,16135,-1035.2299999999989,284,8,0,16,1254,116,1.0864677440022197
1778657485,253,55148,0.02,16143,-1681.1800000000019,182,3,0,16,1257,116,2.7479021841991065
1778657511,254,55430,0.02,16188,-2557.56,282,2,0,16,1259,116,13.688208438960595
1778657525,255,55588,0.02,16209,-1583.7400000000011,158,4,1,16,1263,117,-116.88
1778657560,256,55956,0.02,16290,-2196.3999999999987,368,9,1,16,1272,118,-122.08000000000001
1778657570,257,56055,0.02,16327,419.99999999999983,99,5,0,16,1277,118,-1.536
1778657580,258,56160,0.02,16347,-553.7899999999998,105,4,1,16,1281,119,-122.38
1778657590,259,56265,0.02,16367,-642.4800000000002,105,4,0,16,1285,119,65.36655681607637
1778657607,260,56446,0.02,16416,-1186.6300000000003,181,4,0,16,1289,119,-0.48599999999999977
1778657612,261,56505,0.02,16425,-265.7099999999999,59,2,0,16,1291,119,-157.7219935249341
1778657634,262,56734,0.02,16450,-2006.2400000000002,229,7,1,16,1298,120,-116.64
1778657658,263,56982,0.02,16480,-1973.2300000000023,248,6,1,16,1304,121,-122.32000000000001
1778657668,264,57091,0.02,16496,-996.92,109,3,0,16,1307,121,11.707296266108514
1778657680,265,57207,0.02,16510,-1370.2000000000005,116,3,1,16,1310,122,-122.56
1778657704,266,57473,0.02,16539,-1448.4500000000016,266,5,1,16,1315,123,-122.4
1778657715,267,57582,0.02,16553,-1233.78,109,1,0,16,1316,123,0.4061896752123785
1778657734,268,57787,0.02,16565,-1001.9799999999992,205,5,1,16,1321,124,-122.4
1778657752,269,57973,0.02,16599,-1553.9600000000016,186,3,1,16,1324,125,-122.56
1778657776,270,58230,0.02,16615,-1849.2599999999998,257,6,0,16,1330,125,-0.7862797277640787
1778657791,271,58392,0.02,16632,-1433.589999999997,162,1,1,16,1331,126,-122.72000000000001
1778657801,272,58506,0.02,16639,-1347.8199999999997,114,4,0,16,1335,126,-11.3039860825787
1778657833,273,58846,0.02,16687,-2329.239999999999,340,7,0,16,1342,126,2.9330097331950964
1778657844,274,58971,0.02,16698,-694.0299999999999,125,4,0,16,1346,126,36.211372983788934
1778657866,275,59201,0.02,16721,-1607.7400000000011,230,5,0,16,1351,126,9.693769366862105
1778657879,276,59340,0.02,16730,-992.6400000000007,139,4,0,16,1355,126,-4.386
1778657888,277,59440,0.02,16736,-941.3300000000006,100,2,0,16,1357,126,2.0274905677249997
1778657905,278,59628,0.02,16749,-1369.8300000000004,188,3,1,16,1360,127,-116.85999999999999
1778657950,279,60111,0.02,16833,-2882.820000000004,483,8,0,16,1368,127,-4.066000000000001
1778657973,280,60359,0.02,16885,-2453.8400000000024,248,5,0,16,1373,127,-5.606
1778657994,281,60591,0.02,16914,-1607.5999999999972,232,4,0,16,1377,127,3.3752649999999997
1778658020,282,60872,0.02,16935,-3437.1599999999944,281,5,0,16,1382,127,-2.9782770590570387
1778658042,283,61114,0.02,16967,-2023.590000000002,242,7,1,16,1389,128,-116.64
1778658047,284,61167,0.02,16976,-695.5700000000002,53,2,0,16,1391,128,-2.7098137843311574
1778658062,285,61331,0.02,16997,-1544.7599999999998,164,4,0,16,1395,128,-0.15384236349969527
1778658074,286,61463,0.02,17015,-101.82000000000001,132,9,0,16,1404,128,2.6139999999999994
1778658090,287,61638,0.02,17051,-971.9500000000002,175,6,1,16,1410,129,-116.72
1778658110,288,61859,0.02,17075,-1065.2099999999998,221,6,1,16,1416,130,-122.32000000000001
1778658139,289,62181,0.02,17112,-1562.1799999999992,322,8,1,16,1424,131,-116.56
1778658160,290,62418,0.02,17152,-2430.030000000003,237,5,0,16,1429,131,4.494
1778658165,291,62467,0.02,17157,-398.76,49,1,0,16,1430,131,-1.3260000000000003
1778658191,292,62761,0.02,17190,-2009.4200000000017,294,5,1,16,1435,132,-122.4
1778658211,293,62978,0.02,17219,-517.6199999999999,217,6,1,16,1441,133,-122.32000000000001
1778658229,294,63183,0.02,17242,-2033.5699999999974,205,5,1,16,1446,134,-116.8
1778658232,295,63205,0.02,17248,-66.32000000000001,22,2,1,16,1448,135,-122.4
1778658244,296,63348,0.02,17262,-1796.2899999999984,143,1,1,16,1449,136,-122.72000000000001
